ID	NAME	D
12	Hiawatha	M376.93,587.58c-15.1-.29-21.5-12.35-29.66-22-4.44-5.22-10.24-9-14.33-14.55-7.87-10.69-12.5-23.07-18.54-34.72-1.6-3.1-2.85-6.39-4.5-9.46s-1.09-4.44,2.66-4.4c10.49.09,21-.2,31.46,0,8.28.16,16.52-1,24.84-.33,6.33.48,8,1.5,7,7.67a252.18,252.18,0,0,0-3.29,27.74c-.79,14.43-1.73,28.94,2.06,43.18C375.3,583.28,376.29,585.7,376.93,587.58Z
13	Howe	M368.81,499.14c-9.68-.93-19.19,1-28.58-.09-9.82-1.15-19.5.26-29.24.35-3.45,0-5.49-1.19-7-4.37q-7.36-15.86-15.17-31.51c-1.67-3.35-.49-4,2.68-4q38.23,0,76.47-.2c3.56,0,5.19,1.23,5.13,4.94-.17,10.33.75,20.62,1.55,30.9C375.11,500.53,371.17,498.66,368.81,499.14Z
14	Standish	M306.7,512.59c-1.57,1.62-4.2,1.09-6.19.44-3.85-1.25-7.48-1.35-11.08.58-.73.39-2.05.71-2.1,1.17-.64,6.81-5.67,3.53-9.17,4.62-7,2.2-13.75.9-20.64.9-.89,0-2.24.18-3.15-.65-1.91-1.76.27-5.72-1.47-7.18-1.34-1.12-3.23.71-4.81-.2-1.18-.67-1.73-2.6-.56-13,.81-7.14,1.05-10.56,1.5-15a21,21,0,0,0,0-4.48c-.72-6.3-.76-6.3,5.91-6.3h11.93c5.67.26,12.31-.34,18.95.66,3,.45,4.84,1.43,6.11,4.16,4.52,9.63,9.23,19.17,13.72,28.81C306.41,508.83,308.4,510.85,306.7,512.59Z
15	Bancroft	M243.84,509c0,3-1.29,4.26-4.23,4.11-5.63-.29-11.24.16-16.92-.73-4.31-.67-8.9.27-13.36.68-4,.36-5.47-1.28-5.15-5.18.21-2.65,0-5.33,0-8,0-12.37,0-12.47,12.43-12.33,7.64.09,15.28.62,22.93.8,2.9.06,4.3,1.14,4.25,4.14Q243.71,500.79,243.84,509Z
16	Bryant	M201.09,508.81c0,2.82-1.11,4.29-4.16,4.28-7.15,0-14.31.09-21.46.24-3.66.07-5.51-1.19-5.28-5.25a147.83,147.83,0,0,0,0-15.47c-.21-4,1.49-5.33,5.29-5.09,3.48.22,7,.05,10.48.05s7,.09,10.49,0c3.06-.1,4.7,1,4.65,4.28C201,497.49,201.07,503.15,201.09,508.81Z
17	Powderhorn Park	M243.88,480.28c.08,3.69-1.35,5-5,4.93-9.81-.18-19.64-.21-29.45,0-3.83.06-5.38-1.15-5.28-5.14,0,0,.55-10.51,0-24.46a51,51,0,0,0-.53-6.23l20.24.07a29,29,0,0,0,3.49-.08c2,.73,3.22-1.08,6.26-1,.36,0,1.24.37,3.07.73,7.11,1.39,7.12,1.31,7.12,8.72S243.71,472.79,243.88,480.28Z
18	Central	M200.91,457q0,11.72.22,23.42c.08,3.39-1.29,4.84-4.73,4.71-7.23-.29-14.45-1.32-21.71-.07-3.11.53-4.47-1-4.46-4.27q.12-22.43-.07-44.85c0-3.25,1.31-4.44,4.47-4.36,5.48.13,11,.05,16.45,0,1.49,0,3.19.18,4.41-.46,4.71-2.45,5,.86,5.34,3.93.51,4.74-.82,9.65,1.18,14.27C200.32,451.69,200.91,454.42,200.91,457Z
20	Corcoran	M282.83,471.06c-5.22-.18-10.57,1.14-15.62-1.7-1.59-.9-3.91-.57-5.76.52-3.72,2.2-7.79,1.1-11.71,1.07-2.54,0-2.57-2.19-2.58-4.05,0-5.16,0-10.32,0-15.47h0c0-4.66.2-9.33-.06-14-.23-4.13.94-5.8,5.49-6a78.68,78.68,0,0,1,14.74.8,4.83,4.83,0,0,1,4.13,3.07c4.72,10.27,9.56,20.49,14.36,30.72C288,470.8,287.89,471.24,282.83,471.06Z
21	Longfellow	M326.83,452.53c.26,2.43-1.14,3.62-3.62,3.67-11.15.26-22.29.48-33.43.89-3.81.14-5.2-2.23-6.5-5.08-4.14-9.09-8.16-18.23-12.59-27.18-2.5-5.06-5.73-9.76-7.84-15-.9-2.25-1.78-4.51-2.76-7,2.73-.17,3.93,1.44,5.44,2.3a40.43,40.43,0,0,0,19,5.51c11.13.42,22.24,1.45,33.38,1.82,9.07.3,9.09,0,9,9.45,0,2.47.21,4.91-1.68,7.06a4.62,4.62,0,0,0-.48,5.24C328.84,440,326.18,446.42,326.83,452.53Z
22	Cooper	M374,451.47c0,3.34-1.29,4.75-4.77,4.71-11.33-.11-22.66-.11-34,.1-4,.08-5.21-1.62-5.09-5.38.2-6.16.06-12.33.06-18.49,0-5.67.12-11.34-.05-17-.1-3.34.62-6,4.11-7,3.33-1,5.18-5.89,8.81-4.78,2.93.89,5.12,4.09,7.79,6.07,3.34,2.47,6.8,4.78,10.26,7.09a21.17,21.17,0,0,1,9.1,12.15C372.24,436.27,374,443.73,374,451.47Z
23	Prospect Park	M355.09,363.83H355q0,19.25,0,38.47c0,1.29.48,3-.76,3.73-1.69,1-2.7-.83-3.71-1.74-14.06-12.54-26.53-26.53-38.77-40.87-6-7-8.51-13.7-7.56-22.36a47,47,0,0,0,0-6.5c0-.11,0-.22,0-.33.88-2.67.24-11.81.06-14.4-.4-5.65.32-11.34,0-17,0-.63-.14-2.47.83-3,.57-.34,1.48-.16,2.89.65,13.48,7.76,28.05,13.06,42.61,18.31,3.4,1.23,4.63,3.09,4.59,6.61C355,338.18,355.09,351,355.09,363.83Z
24	Seward	M334.82,404.41c-5.64,3.88-10.28,4.91-26.61,4.68-6-.41-17.18-.69-28.21-2.06-13.51-1.67-22.17-10.56-29-21.57,1.39-7.12-3.31-12.48-5.35-18.61-.74-2.19.07-3.46,2.47-2.24,14.72,7.51,30.45,2.8,45.7,3.7,2.95.18,5.77-1.73,8.12-3.57,3.28-2.59,5.37-1.15,7.49,1.48,7.31,9.07,14.22,18.49,23,26.24,1.12,1,2.16,2.08,3.25,3.11C340.31,400,340.24,400.67,334.82,404.41Z
25	East Phillips	M267.09,426.7a1.82,1.82,0,0,1-1.06,1c-2.93,1.38-10.72.57-12.13.42-7.63-.1-13.31-.13-16.83,0-.83,0-2.74.15-3.9-1.05a4.55,4.55,0,0,1-.94-3.46c.39-10.14.62-20.29.93-30.44,0-1.16,0-2.86,1.12-3.1,3.82-.79,5.87-2.65,6.74-6.67.38-1.77,2.94-1.07,4,.5,4.33,6.3,9.09,12.33,11.47,19.8a88.66,88.66,0,0,0,8.54,19.11C265.39,423.39,267.63,425.28,267.09,426.7Z
26	Midtown Phillips	M229.89,394.61c-.32,11.39-3.46,14.39-2.38,21.11.36,2.21,1.2,5-.14,8.2a7.88,7.88,0,0,1-2,3,2.32,2.32,0,0,1-1,.78,7,7,0,0,1-2.34.69c-2.53.33-4.95-.55-8.62-.65-3.12-.08-3.69.49-5.28-.18a8,8,0,0,1-3.79-3.91c-2-3.84-.31-6-.12-14.4.18-8,.28-12-.06-13.57-.2-1-.65-3,.4-4.46.86-1.21,2.33-1.55,4.05-1.83,6.87-1.13,8.38.68,15.66-.13C228.23,388.86,230,390.34,229.89,394.61Z
